	c1	c2	c3	c4	c5	c6	c7	c8	
r1	 5.8423875	 5.9508094	 5.2753188	 5.2853165	 6.0769966	 5.7784947	 5.4899768	 5.5335505	
r2	   1.88286	 1.1695461	 1.1794441	 1.2017627	 1.4479979	 1.0492519	 1.0254162	 1.0510245	
r3	-.28419598	-.04401737	-.17856838	-.39169307	-.27293777	 .22934125	 .18745963	 .16470349	
r4	 1.8949783	 1.0709658	 1.0839515	 1.0726884	 1.1333627	 .82871846	 .79607323	 .79223425	
r5	         .	         .	 6.2735235	 6.1780069	         .	         .	 6.1282055	 6.0340885	
r6	         .	         .	 1.4140989	 1.4114441	         .	         .	 1.4078846	 1.4056477	
r7	         .	         .	 4.0999822	 4.0467246	         .	         .	 4.1168277	 4.0643628	
r8	         .	         .	 .65183388	 .65524423	         .	         .	 .65417106	 .65758245	
r9	         .	         .	-13.323813	-13.223663	         .	         .	-13.515938	-13.424039	
r10	         .	         .	 .80805631	 .80708468	         .	         .	 .81190896	 .81157068	
r11	         .	         .	         .	 .51447029	         .	         .	         .	  .0788296	
r12	         .	         .	         .	 1.7411929	         .	         .	         .	  1.736306	
r13	         .	         .	         .	 .06685496	         .	         .	         .	 .05454292	
r14	         .	         .	         .	 .06285727	         .	         .	         .	 .06281315	
r15	         .	         .	         .	 .55769833	         .	         .	         .	 .35491699	
r16	         .	         .	         .	 1.1299838	         .	         .	         .	 1.1279709	
r17	         0	         1	         1	         1	         0	         1	         1	         1	
r18	 .01078043	 .16905375	 .22425985	 .22364311	  .0103261	 .16729072	 .22366443	 .22289263	
	c1	c2	c3	c4	c5	c6	c7	c8	
r1	 5.8423875	 5.9508094	 5.2753188	 5.2853165	 6.0769966	 5.7784947	 5.4899768	 5.5335505	
r2	   1.88286	 1.1695461	 1.1794441	 1.2017627	 1.4479979	 1.0492519	 1.0254162	 1.0510245	
r3	-.28419598	-.04401737	-.17856838	-.39169307	-.27293777	 .22934125	 .18745963	 .16470349	
r4	 1.8949783	 1.0709658	 1.0839515	 1.0726884	 1.1333627	 .82871846	 .79607323	 .79223425	
r5	         .	         .	 6.2735235	 6.1780069	         .	         .	 6.1282055	 6.0340885	
r6	         .	         .	 1.4140989	 1.4114441	         .	         .	 1.4078846	 1.4056477	
r7	         .	         .	 4.0999822	 4.0467246	         .	         .	 4.1168277	 4.0643628	
r8	         .	         .	 .65183388	 .65524423	         .	         .	 .65417106	 .65758245	
r9	         .	         .	-13.323813	-13.223663	         .	         .	-13.515938	-13.424039	
r10	         .	         .	 .80805631	 .80708468	         .	         .	 .81190896	 .81157068	
r11	         .	         .	         .	 .51447029	         .	         .	         .	  .0788296	
r12	         .	         .	         .	 1.7411929	         .	         .	         .	  1.736306	
r13	         .	         .	         .	 .06685496	         .	         .	         .	 .05454292	
r14	         .	         .	         .	 .06285727	         .	         .	         .	 .06281315	
r15	         .	         .	         .	 .55769833	         .	         .	         .	 .35491699	
r16	         .	         .	         .	 1.1299838	         .	         .	         .	 1.1279709	
r17	         0	         1	         1	         1	         0	         1	         1	         1	
r18	 .01078043	 .16905375	 .22425985	 .22364311	  .0103261	 .16729072	 .22366443	 .22289263	
