	c1	c2	c3	c4	c5	c6	c7	c8	
r1	 5.8365656	 6.3349707	 5.9088105	 5.8953161	 5.4238424	 5.6974036	 5.3588393	 5.2920939	
r2	 1.9252343	 1.2493554	 1.2048329	 1.2073946	 1.6451388	 1.1154233	 1.0841244	 1.0830559	
r3	 1.1161408	 1.4093435	 1.5698921	 1.6726067	-.10200198	 1.0484318	 1.1855369	 1.2394439	
r4	 1.9730319	 1.0755023	 1.0408765	 1.0335528	 1.1731638	 .83761086	 .79532883	 .79726966	
r5	         .	         .	 7.2206746	 7.2517452	         .	         .	 7.1553879	 7.1880165	
r6	         .	         .	 1.1431513	 1.1392958	         .	         .	 1.1516681	 1.1481109	
r7	         .	         .	 3.1305912	 3.1225045	         .	         .	 3.1312419	 3.1215168	
r8	         .	         .	 .58570278	 .58709379	         .	         .	 .58675914	 .58846946	
r9	         .	         .	-13.716103	 -13.65538	         .	         .	-13.849621	-13.787105	
r10	         .	         .	 .70709252	 .70912762	         .	         .	 .71850505	 .72016509	
r11	         .	         .	         .	 .56238659	         .	         .	         .	 .59698542	
r12	         .	         .	         .	 1.7103064	         .	         .	         .	 1.7228643	
r13	         .	         .	         .	  .1020296	         .	         .	         .	 .10632806	
r14	         .	         .	         .	 .06381352	         .	         .	         .	 .06489929	
r15	         .	         .	         .	-1.0857701	         .	         .	         .	-1.1915783	
r16	         .	         .	         .	 1.0367136	         .	         .	         .	 1.0268401	
r17	         0	         1	         1	         1	         0	         1	         1	         1	
r18	 .00876732	 .21189148	 .28082941	 .28195202	 .00836928	 .20986988	 .27925254	 .28027577	
	c1	c2	c3	c4	c5	c6	c7	c8	
r1	 5.8365656	 6.3349707	 5.9088105	 5.8953161	 5.4238424	 5.6974036	 5.3588393	 5.2920939	
r2	 1.9252343	 1.2493554	 1.2048329	 1.2073946	 1.6451388	 1.1154233	 1.0841244	 1.0830559	
r3	 1.1161408	 1.4093435	 1.5698921	 1.6726067	-.10200198	 1.0484318	 1.1855369	 1.2394439	
r4	 1.9730319	 1.0755023	 1.0408765	 1.0335528	 1.1731638	 .83761086	 .79532883	 .79726966	
r5	         .	         .	 7.2206746	 7.2517452	         .	         .	 7.1553879	 7.1880165	
r6	         .	         .	 1.1431513	 1.1392958	         .	         .	 1.1516681	 1.1481109	
r7	         .	         .	 3.1305912	 3.1225045	         .	         .	 3.1312419	 3.1215168	
r8	         .	         .	 .58570278	 .58709379	         .	         .	 .58675914	 .58846946	
r9	         .	         .	-13.716103	 -13.65538	         .	         .	-13.849621	-13.787105	
r10	         .	         .	 .70709252	 .70912762	         .	         .	 .71850505	 .72016509	
r11	         .	         .	         .	 .56238659	         .	         .	         .	 .59698542	
r12	         .	         .	         .	 1.7103064	         .	         .	         .	 1.7228643	
r13	         .	         .	         .	  .1020296	         .	         .	         .	 .10632806	
r14	         .	         .	         .	 .06381352	         .	         .	         .	 .06489929	
r15	         .	         .	         .	-1.0857701	         .	         .	         .	-1.1915783	
r16	         .	         .	         .	 1.0367136	         .	         .	         .	 1.0268401	
r17	         0	         1	         1	         1	         0	         1	         1	         1	
r18	 .00876732	 .21189148	 .28082941	 .28195202	 .00836928	 .20986988	 .27925254	 .28027577	
