	c1	c2	c3	c4	
r1	  .5924933	  .6241206	 .60665138	 .51762302	
r2	 .61558442	 .55555556	 .64119601	  .0004939	
r3	 5.7722413	 5.8504927	 5.8685117	 .03264036	
r4	 .52727273	 .51267057	 .46843854	 .06861545	
r5	  15.87013	 22.709552	 23.457364	         0	
r6	  44.34858	 38.201139	 42.983927	 3.888e-06	
	c1	c2	c3	c4	
r1	  .5924933	  .6241206	 .60665138	 .51762302	
r2	 .61558442	 .55555556	 .64119601	  .0004939	
r3	 5.7722413	 5.8504927	 5.8685117	 .03264036	
r4	 .52727273	 .51267057	 .46843854	 .06861545	
r5	  15.87013	 22.709552	 23.457364	         0	
r6	  44.34858	 38.201139	 42.983927	 3.888e-06	
