	c1	c2	c3	c4	
r1	 .65546218	 .63327948	 .65909091	 .60479321	
r2	 .53278689	  .5412844	 .44157815	 .00053418	
r3	 5.8737555	 5.9006702	 5.9318613	 .39552851	
r4	 .36885246	 .33639144	 .34901366	 .58004818	
r5	      15.5	 23.714067	 23.591806	         0	
r6	  38.53835	 37.642075	 34.360553	 .01652747	
	c1	c2	c3	c4	
r1	 .65546218	 .63327948	 .65909091	 .60479321	
r2	 .53278689	  .5412844	 .44157815	 .00053418	
r3	 5.8737555	 5.9006702	 5.9318613	 .39552851	
r4	 .36885246	 .33639144	 .34901366	 .58004818	
r5	      15.5	 23.714067	 23.591806	         0	
r6	  38.53835	 37.642075	 34.360553	 .01652747	
